Gender,Year,Major,GPA,FamilyIncome,Age,NoOfCourses,Country,Id
M,3,MATH,1,320000,23,4,KOR,5086
F,1,ECE,2.8,105000,20,5,AUS,5087
M,2,MATH,1,330000,20,6,GER,5088
F,2,ME,1,85000,22,5,FRANCE,5089
F,4,ME,3.4,75000,24,3,RUSSIAN,5090
M,2,CHEM,1,70000,21,6,BRAZIL,5091
M,3,CS,4,50000,22,6,US,5092
M,3,ECE,4,80000,22,4,CHN,5093
F,1,MATH,1,250000,21,2,AUS,5094
M,4,CS,4,30000,23,6,BRAZIL,5095
F,2,CHEM,1.2,100000,20,4,ENG,5096
M,2,CHEM,1,85000,22,5,JPN,5097
M,1,PHY,1,150000,19,2,THAILAND,5098
F,4,ECE,2.6,75000,23,3,AUS,5099
F,2,CHEM,1.4,115000,22,3,RUSSIAN,5100
M,2,ECE,2.4,70000,20,6,RUSSIAN,5101
M,1,CS,1.4,150000,19,2,BRAZIL,5102
F,1,STAT,1.6,135000,21,3,CHN,5103
M,4,ECE,2.4000000000000004,60000,22,4,JPN,5104
F,3,PHY,2.4,95000,23,3,BRAZIL,5105
F,4,ME,3.2,60000,23,4,US,5106
F,3,CS,3.4,110000,22,2,THAILAND,5107
M,3,ECE,2.5999999999999996,80000,23,4,JPN,5108
M,2,CHEM,1.2,100000,22,4,IND,5109
M,3,STAT,1.7999999999999998,50000,22,6,GER,5110
F,2,STAT,1.7999999999999998,300000,20,4,KOR,5111
F,2,CS,2.8,100000,21,4,BRAZIL,5112
F,3,CS,3.6,95000,21,3,US,5113
F,1,ECE,3.4,150000,19,2,FRANCE,5114
M,3,ECE,1,290000,21,2,KOR,5115
M,3,STAT,1.7999999999999998,50000,23,6,GER,5116
M,1,MATH,1,265000,21,3,IND,5117
F,1,MATH,1,295000,19,5,FRANCE,5118
F,2,ME,1,85000,20,5,SPAIN,5119
F,3,CHEM,2.2,80000,23,4,JPN,5120
F,4,CHEM,3.6,90000,23,2,US,5121
F,4,MATH,3.2,340000,22,4,CANADA,5122
M,2,CS,3.0,85000,21,5,THAILAND,5123
M,2,STAT,1,70000,22,6,IND,5124
F,2,MATH,1,315000,20,5,RUSSIAN,5125
M,1,ECE,4,120000,19,4,CHN,5126
F,2,STAT,1.2,100000,20,4,IND,5127
F,2,ME,1.6,130000,22,2,IND,5128
M,2,CS,2.8,100000,22,4,US,5129
M,1,STAT,1,105000,20,5,FRANCE,5130
M,2,ECE,2.4,70000,20,6,RUSSIAN,5131
M,3,ME,2.2,80000,21,4,ENG,5132
F,3,PHY,2.6,110000,23,2,JPN,5133
M,3,CHEM,2.6,110000,21,2,AUS,5134
M,1,ME,1,105000,19,5,FRANCE,5135
M,2,CHEM,1,85000,21,5,GER,5136
F,2,CS,3.0,85000,22,5,ENG,5137
M,2,PHY,1.2,100000,20,4,US,5138
F,1,ME,1,90000,21,6,CANADA,5139
M,2,PHY,1,85000,20,5,FRANCE,5140
M,3,ECE,2.4,65000,21,5,FRANCE,5141
F,3,ECE,2.5999999999999996,80000,21,4,AUS,5142
M,1,CS,1.8,120000,20,4,AUS,5143
M,3,ME,1,320000,22,4,KOR,5144
M,4,STAT,1,325000,23,3,KOR,5145
F,3,CS,3.8,80000,23,4,SPAIN,5146
F,3,PHY,1.7999999999999998,50000,22,6,RUSSIAN,5147
M,2,PHY,1,70000,21,6,BRAZIL,5148
F,1,CHEM,1,135000,19,3,ENG,5149
F,3,CHEM,1.7999999999999998,50000,23,6,BRAZIL,5150
F,3,MATH,2.2,320000,22,4,IND,5151
M,3,ME,2.4,95000,23,3,IND,5152
M,3,PHY,1.7999999999999998,50000,23,6,US,5153
F,4,CS,4,90000,22,2,US,5154
F,4,MATH,3.6,310000,23,2,AUS,5155
M,3,ECE,2.4,65000,21,5,THAILAND,5156
F,1,CS,1.4,150000,21,2,IND,5157
F,1,STAT,1,135000,20,3,THAILAND,5158
M,2,PHY,1.2,100000,22,4,JPN,5159
M,3,PHY,2.0,65000,23,5,BRAZIL,5160
M,4,ME,3.0,45000,22,5,JPN,5161
M,4,MATH,3.4,325000,23,3,THAILAND,5162
F,3,MATH,1.7999999999999998,350000,23,6,BRAZIL,5163
F,1,PHY,1,150000,20,2,BRAZIL,5164
M,1,CHEM,1,90000,20,6,JPN,5165
F,2,MATH,1,315000,21,5,AUS,5166
M,3,MATH,3.4,290000,21,2,CHN,5167
F,3,CS,3.6,95000,22,3,CANADA,5168
F,1,PHY,1,135000,19,3,BRAZIL,5169
M,3,MATH,1,320000,23,4,KOR,5170
F,1,ME,2.8,295000,20,5,KOR,5171
M,2,STAT,1,70000,21,6,FRANCE,5172
F,4,ME,3.0,45000,22,5,AUS,5173
F,2,ME,1,85000,20,5,THAILAND,5174
F,2,ECE,3.0,115000,22,3,THAILAND,5175
F,4,MATH,3.0,355000,22,5,FRANCE,5176
M,2,CHEM,3.0,85000,22,5,CHN,5177
M,1,ECE,2.5999999999999996,90000,21,6,GER,5178
F,1,PHY,1,135000,21,3,BRAZIL,5179
M,3,PHY,2.6,110000,21,2,GER,5180
M,4,ECE,2.2,45000,24,5,JPN,5181
F,4,ECE,2.8000000000000003,90000,24,2,IND,5182
F,3,ECE,3.0,110000,22,2,GER,5183
F,2,PHY,1,70000,21,6,BRAZIL,5184
F,4,MATH,3.2,340000,22,4,JPN,5185
M,4,CS,4,30000,22,6,IND,5186
F,1,ME,1,105000,20,5,THAILAND,5187
M,2,PHY,1.2,100000,21,4,BRAZIL,5188
F,2,CS,2.8,100000,20,4,BRAZIL,5189
F,2,CS,3.2,70000,22,6,AUS,5190
M,1,PHY,1,150000,19,2,GER,5191
F,4,MATH,3.6,310000,23,2,ENG,5192
M,1,MATH,2.0,295000,21,5,CHN,5193
M,2,CHEM,1,85000,22,5,THAILAND,5194
F,2,CS,2.4,130000,22,2,GER,5195
M,1,PHY,1,90000,21,6,CANADA,5196
M,3,MATH,1.7999999999999998,350000,23,6,SPAIN,5197
F,2,STAT,3.0,85000,22,5,CHN,5198
F,2,CS,2.4,130000,22,2,ENG,5199
M,1,ME,1.4,150000,20,2,CHN,5200
M,3,ECE,1,320000,22,4,KOR,5201
M,4,PHY,2.8,30000,24,6,SPAIN,5202
F,1,MATH,1,280000,20,4,JPN,5203
F,2,PHY,1.2,100000,22,4,AUS,5204
F,3,STAT,2.0,65000,21,5,IND,5205
M,2,STAT,1.6,130000,21,2,RUSSIAN,5206
F,3,CS,4.0,65000,23,5,CANADA,5207
M,1,MATH,1,265000,19,3,GER,5208
M,4,CS,4,45000,23,5,IND,5209
F,1,ECE,2.5999999999999996,90000,19,6,ENG,5210
F,2,CHEM,1,85000,21,5,JPN,5211
M,4,CS,4,75000,24,3,US,5212
F,1,CS,1.8,120000,20,4,SPAIN,5213
M,4,ME,2.8,30000,23,6,JPN,5214
M,2,CHEM,1.6,130000,20,2,ENG,5215
M,4,STAT,2.8,30000,23,6,JPN,5216
F,3,CS,3.8,80000,22,4,US,5217
F,4,MATH,2.8,370000,24,6,SPAIN,5218
F,4,CS,4,90000,23,2,GER,5219
M,1,MATH,1,295000,20,5,THAILAND,5220
M,2,CHEM,1.6,130000,22,2,JPN,5221
F,1,STAT,1,120000,21,4,US,5222
M,1,ECE,2.5999999999999996,90000,21,6,BRAZIL,5223
F,2,ECE,3.2,130000,21,2,GER,5224
M,1,ME,1,105000,19,5,JPN,5225
M,2,MATH,1,315000,22,5,CANADA,5226
M,1,STAT,2.8,310000,19,6,KOR,5227
M,3,STAT,1.7999999999999998,50000,23,6,ENG,5228
M,1,PHY,1,105000,19,5,US,5229
M,2,MATH,1,315000,20,5,FRANCE,5230
M,3,CS,4.0,65000,22,5,ENG,5231
F,3,CHEM,2.4,95000,22,3,ENG,5232
F,2,ECE,2.8,100000,22,4,SPAIN,5233
M,3,MATH,2.0,335000,21,5,US,5234
F,2,ME,1,70000,20,6,IND,5235
F,4,MATH,4,370000,23,6,CHN,5236
F,3,MATH,1.7999999999999998,350000,23,6,FRANCE,5237
F,2,MATH,1,315000,21,5,THAILAND,5238
F,3,ECE,2.8,95000,21,3,AUS,5239
M,4,MATH,2.8,370000,23,6,GER,5240
F,4,ME,3.2,60000,22,4,US,5241
F,2,ME,1.2,100000,21,4,IND,5242
F,1,PHY,1,90000,20,6,THAILAND,5243
F,1,CS,1.4,150000,21,2,AUS,5244
M,1,ECE,2.8,105000,21,5,THAILAND,5245
F,1,CHEM,1,120000,19,4,CANADA,5246
F,1,ECE,3.0,120000,20,4,GER,5247
M,1,MATH,1,310000,21,6,SPAIN,5248
M,3,STAT,2.4,95000,23,3,CANADA,5249
M,2,ME,1.2,100000,22,4,SPAIN,5250
M,3,CS,3.6,95000,23,3,CHN,5251
M,4,MATH,3.0,355000,23,5,US,5252
M,3,CS,3.8,80000,23,4,IND,5253
M,2,ECE,3.2,130000,22,2,FRANCE,5254
M,3,CHEM,3.4,110000,23,2,CHN,5255
M,1,ME,1,135000,21,3,FRANCE,5256
M,2,ECE,1.7999999999999998,285000,21,3,KOR,5257
F,4,CS,4,75000,22,3,FRANCE,5258
F,2,STAT,1,85000,21,5,THAILAND,5259
F,2,PHY,1.2,100000,21,4,GER,5260
M,1,CHEM,1,135000,19,3,GER,5261
F,4,CHEM,2.8,30000,22,6,JPN,5262
M,2,CS,2.6,115000,22,3,CHN,5263
M,2,CS,2.8,100000,20,4,SPAIN,5264
F,3,ECE,2.8,95000,23,3,ENG,5265
F,1,CS,2.0,105000,21,5,IND,5266
F,1,ECE,3.4,150000,21,2,IND,5267
F,4,MATH,2.8,370000,23,6,US,5268
F,3,CHEM,1.7999999999999998,50000,23,6,CANADA,5269
F,2,MATH,1.4,285000,21,3,CANADA,5270
F,4,ECE,2.4000000000000004,60000,23,4,FRANCE,5271
M,4,CS,4,75000,22,3,AUS,5272
M,4,ECE,2.8000000000000003,90000,23,2,BRAZIL,5273
M,3,STAT,2.0,65000,21,5,AUS,5274
F,2,MATH,2.8,300000,20,4,CHN,5275
M,1,STAT,1,90000,21,6,FRANCE,5276
F,2,CS,2.6,115000,20,3,THAILAND,5277
F,1,MATH,1,265000,19,3,ENG,5278
M,2,ECE,3.0,115000,22,3,BRAZIL,5279
F,4,CS,4,90000,22,2,RUSSIAN,5280
M,1,CS,2.0,105000,20,5,GER,5281
M,1,CS,1.4,150000,19,2,AUS,5282
M,2,STAT,3.0,85000,21,5,CHN,5283
M,1,STAT,1,150000,21,2,SPAIN,5284
M,3,PHY,2.6,110000,21,2,GER,5285
F,2,ECE,3.2,130000,21,2,SPAIN,5286
M,1,STAT,1,135000,21,3,THAILAND,5287
M,1,CHEM,1,150000,21,2,JPN,5288
F,3,CHEM,4.0,65000,21,5,CHN,5289
M,2,CS,1.7999999999999998,315000,22,5,KOR,5290
M,4,CS,4,30000,24,6,AUS,5291
F,3,ME,2.6,110000,21,2,ENG,5292
M,4,ME,4,75000,22,3,CHN,5293
M,2,ECE,2.4,70000,20,6,JPN,5294
M,3,STAT,2.0,65000,22,5,SPAIN,5295
M,1,CHEM,1,90000,21,6,JPN,5296
F,4,ECE,4,30000,23,6,CHN,5297
M,4,CHEM,3.0,45000,24,5,ENG,5298
M,3,ME,1.7999999999999998,50000,21,6,IND,5299
M,1,CS,1.4,150000,19,2,AUS,5300
F,4,ME,3.6,90000,22,2,AUS,5301
M,3,MATH,2.4,305000,23,3,THAILAND,5302
M,3,MATH,2.4,305000,22,3,RUSSIAN,5303
M,4,CS,4,30000,23,6,BRAZIL,5304
M,4,PHY,3.0,45000,24,5,US,5305
F,4,CS,4,90000,22,2,CHN,5306
M,3,MATH,1.7999999999999998,350000,21,6,JPN,5307
M,2,STAT,1,70000,22,6,THAILAND,5308
F,1,MATH,2.8,295000,20,5,KOR,5309
F,3,ECE,2.8,95000,21,3,SPAIN,5310
F,3,ECE,2.5999999999999996,80000,23,4,AUS,5311
F,2,CHEM,1.6,130000,22,2,ENG,5312
F,4,ME,3.0,45000,23,5,RUSSIAN,5313
F,2,STAT,1.2,100000,22,4,SPAIN,5314
F,3,STAT,1.7999999999999998,50000,23,6,FRANCE,5315
M,3,PHY,2.2,80000,21,4,SPAIN,5316
M,1,ECE,3.0,120000,21,4,THAILAND,5317
M,3,ECE,2.8,95000,23,3,SPAIN,5318
M,3,CHEM,2.6,110000,22,2,RUSSIAN,5319
M,4,PHY,4,45000,24,5,CHN,5320
F,3,ME,2.4,95000,21,3,US,5321
M,4,ME,3.6,90000,22,2,FRANCE,5322
F,3,ME,2.2,80000,22,4,IND,5323
M,2,ME,1.2,100000,21,4,RUSSIAN,5324
M,2,CS,2.8,100000,21,4,BRAZIL,5325
M,4,STAT,3.4,75000,22,3,IND,5326
M,4,PHY,2.8,30000,22,6,AUS,5327
M,2,MATH,2.6,285000,21,3,CHN,5328
F,2,ME,1.6,130000,22,2,FRANCE,5329
F,1,CHEM,1,90000,20,6,GER,5330
F,3,PHY,2.4,95000,22,3,JPN,5331
F,3,CS,1,290000,22,2,KOR,5332
F,4,ME,1,340000,23,4,KOR,5333
M,3,ME,3.6,95000,23,3,CHN,5334
F,2,ME,1.6,130000,21,2,AUS,5335
M,1,ME,1,120000,21,4,BRAZIL,5336
F,4,PHY,2.8,30000,22,6,FRANCE,5337
M,3,CHEM,4.0,65000,23,5,CHN,5338
F,4,STAT,3.2,60000,23,4,JPN,5339
M,3,CHEM,1.7999999999999998,50000,23,6,THAILAND,5340
M,4,CHEM,1,355000,22,5,KOR,5341
M,1,ECE,3.0,120000,19,4,SPAIN,5342
M,3,CS,4,50000,22,6,US,5343
M,1,PHY,2.8,265000,21,3,KOR,5344
M,4,CS,4,90000,23,2,US,5345
F,2,PHY,1,70000,20,6,THAILAND,5346
F,3,PHY,2.6,110000,22,2,US,5347
M,2,CHEM,1,85000,20,5,JPN,5348
M,2,ECE,2.8,100000,21,4,SPAIN,5349
F,4,STAT,3.2,60000,23,4,IND,5350
M,4,CS,4,60000,23,4,RUSSIAN,5351
F,2,ME,1,70000,21,6,US,5352
F,1,ECE,3.4,150000,20,2,SPAIN,5353
F,2,ME,1.6,130000,20,2,SPAIN,5354
F,4,ME,2.8,30000,22,6,ENG,5355
M,1,PHY,1.4,150000,21,2,CHN,5356
M,4,MATH,3.4,325000,23,3,GER,5357
F,4,CS,4,90000,22,2,GER,5358
M,4,MATH,3.2,340000,23,4,SPAIN,5359
M,1,CHEM,1,105000,20,5,SPAIN,5360
M,1,ME,1,120000,20,4,IND,5361
M,1,CHEM,1,105000,19,5,GER,5362
M,1,PHY,1.6,135000,20,3,CHN,5363
M,3,CS,3.8,80000,22,4,ENG,5364
F,2,CHEM,1,70000,20,6,AUS,5365
M,2,PHY,1,70000,22,6,AUS,5366
M,2,CS,2.4,130000,21,2,GER,5367
M,4,PHY,1,325000,24,3,KOR,5368
M,3,CS,4.0,65000,22,5,IND,5369
M,1,CHEM,1,135000,19,3,GER,5370
M,3,CHEM,3.6,95000,23,3,CHN,5371
M,3,PHY,4,50000,21,6,CHN,5372
M,3,PHY,2.2,80000,22,4,GER,5373
M,3,PHY,2.6,110000,21,2,RUSSIAN,5374
M,3,PHY,2.4,95000,22,3,GER,5375
F,4,MATH,2.8,370000,24,6,ENG,5376
M,1,ME,1,150000,19,2,IND,5377
M,1,STAT,1,120000,21,4,JPN,5378
F,2,ECE,2.6,85000,21,5,JPN,5379
M,2,MATH,1,315000,21,5,IND,5380
M,2,MATH,1.2,300000,21,4,SPAIN,5381
M,2,ME,1,85000,22,5,AUS,5382
F,3,STAT,2.6,110000,23,2,US,5383
M,4,PHY,3.0,45000,23,5,US,5384
F,2,CS,3.0,85000,20,5,IND,5385
M,2,MATH,1,330000,20,6,THAILAND,5386
M,2,ME,1.2,100000,22,4,AUS,5387
F,1,ME,2.8,280000,19,4,KOR,5388
M,1,CS,1.4,150000,19,2,AUS,5389
M,3,CHEM,2.4,95000,21,3,BRAZIL,5390
F,3,CS,3.6,95000,23,3,THAILAND,5391
M,4,CHEM,4,45000,24,5,CHN,5392
F,2,ECE,2.6,85000,21,5,THAILAND,5393
M,4,MATH,3.6,310000,22,2,BRAZIL,5394
F,1,ME,1,135000,20,3,SPAIN,5395
M,1,ME,2.8,295000,21,5,KOR,5396
M,4,ECE,2.6,75000,23,3,THAILAND,5397
M,3,MATH,1.7999999999999998,350000,21,6,BRAZIL,5398
M,2,MATH,1.6,270000,22,2,RUSSIAN,5399
M,3,STAT,2.4,95000,23,3,THAILAND,5400
F,4,ME,2.8,30000,23,6,AUS,5401
M,2,CHEM,1,85000,21,5,ENG,5402
F,3,CS,3.6,95000,21,3,RUSSIAN,5403
F,1,ECE,2.8,105000,21,5,US,5404
M,3,CS,3.8,80000,23,4,IND,5405
F,2,ECE,3.2,130000,22,2,JPN,5406
M,3,CHEM,2.0,65000,22,5,AUS,5407
M,1,MATH,1,250000,21,2,JPN,5408
M,3,PHY,1.7999999999999998,50000,23,6,IND,5409
F,2,MATH,1,330000,22,6,THAILAND,5410
F,2,ME,1.4,115000,20,3,THAILAND,5411
F,1,CS,1.6,135000,19,3,ENG,5412
F,3,CS,3.4,110000,23,2,RUSSIAN,5413
F,3,PHY,2.2,80000,22,4,AUS,5414
M,2,MATH,1.6,270000,20,2,THAILAND,5415
M,2,STAT,1.4,115000,20,3,US,5416
M,2,CHEM,1,85000,20,5,THAILAND,5417
F,4,STAT,1,325000,22,3,KOR,5418
F,4,MATH,3.6,310000,24,2,US,5419
M,4,ECE,2.8000000000000003,90000,22,2,AUS,5420
F,4,MATH,3.6,310000,24,2,ENG,5421
F,3,CS,3.6,95000,21,3,BRAZIL,5422
M,4,ME,3.4,75000,22,3,SPAIN,5423
M,3,PHY,2.6,110000,22,2,IND,5424
M,1,ECE,3.4,150000,21,2,JPN,5425
F,3,ME,2.4,95000,23,3,GER,5426
M,1,PHY,1,105000,21,5,IND,5427
M,3,CS,4.0,65000,21,5,THAILAND,5428
F,4,ME,4,30000,22,6,CHN,5429
F,2,PHY,1.7999999999999998,315000,20,5,KOR,5430
F,2,ME,1.2,100000,21,4,CANADA,5431
M,2,ECE,1.7999999999999998,300000,21,4,KOR,5432
F,2,MATH,1,330000,22,6,BRAZIL,5433
F,3,CS,3.6,95000,22,3,BRAZIL,5434
M,1,STAT,1,135000,21,3,CANADA,5435
F,3,MATH,2.0,335000,21,5,IND,5436
F,1,MATH,1,295000,21,5,US,5437
F,1,CS,1.6,135000,19,3,BRAZIL,5438
F,4,PHY,4,75000,22,3,CHN,5439
M,4,CHEM,3.4,75000,22,3,SPAIN,5440
F,4,CS,1,325000,23,3,KOR,5441
F,2,ME,1.2,100000,22,4,IND,5442
M,4,STAT,3.0,45000,23,5,THAILAND,5443
M,3,PHY,2.0,65000,23,5,IND,5444
M,4,CHEM,3.2,60000,23,4,BRAZIL,5445
M,1,ME,1,90000,20,6,THAILAND,5446
M,3,PHY,2.6,110000,23,2,US,5447
F,2,ECE,2.6,85000,20,5,CANADA,5448
F,1,MATH,1,250000,21,2,RUSSIAN,5449
M,1,ME,1,90000,21,6,BRAZIL,5450
M,4,ME,3.6,90000,24,2,THAILAND,5451
F,4,ME,3.0,45000,23,5,BRAZIL,5452
M,1,STAT,1,105000,19,5,THAILAND,5453
F,1,CHEM,1,150000,19,2,RUSSIAN,5454
F,4,ME,3.4,75000,22,3,BRAZIL,5455
M,3,PHY,2.6,110000,23,2,IND,5456
M,4,MATH,2.8,370000,23,6,US,5457
F,4,CS,4,30000,24,6,GER,5458
M,2,CHEM,2.4,130000,21,2,CHN,5459
M,1,ECE,3.1999999999999997,135000,20,3,JPN,5460
M,2,MATH,1.6,270000,22,2,GER,5461
F,2,STAT,1.4,115000,21,3,CANADA,5462
M,1,ECE,3.0,120000,19,4,THAILAND,5463
F,3,STAT,1.7999999999999998,50000,23,6,IND,5464
M,4,STAT,2.8,30000,24,6,ENG,5465
M,2,ECE,2.6,85000,20,5,SPAIN,5466
M,4,ECE,2.0,30000,23,6,FRANCE,5467
F,3,CHEM,2.4,95000,22,3,SPAIN,5468
M,4,ECE,2.4000000000000004,60000,22,4,GER,5469
F,3,PHY,2.0,65000,21,5,CANADA,5470
F,2,ME,2.4,130000,20,2,CHN,5471
F,4,ME,2.8,30000,24,6,IND,5472
F,2,MATH,2.6,285000,21,3,CHN,5473
M,3,ME,2.0,65000,22,5,JPN,5474
F,3,PHY,2.0,65000,22,5,RUSSIAN,5475
M,2,ECE,3.0,115000,20,3,CANADA,5476
F,2,ME,1,85000,22,5,SPAIN,5477
F,4,ECE,2.0,30000,23,6,JPN,5478
M,1,CHEM,1,90000,20,6,AUS,5479
F,2,CS,2.6,115000,22,3,JPN,5480
M,3,MATH,2.4,305000,23,3,CANADA,5481
F,4,STAT,3.0,45000,22,5,US,5482
F,2,MATH,1.6,270000,21,2,RUSSIAN,5483
F,4,CS,4,75000,22,3,GER,5484
F,2,PHY,1,85000,22,5,FRANCE,5485
M,4,STAT,3.0,45000,23,5,GER,5486
M,2,CS,3.2,70000,20,6,US,5487
M,1,CHEM,1,120000,19,4,RUSSIAN,5488
F,4,CHEM,3.6,90000,24,2,IND,5489
F,4,ME,3.4,75000,23,3,SPAIN,5490
M,3,PHY,1.7999999999999998,50000,23,6,BRAZIL,5491
F,3,CS,4,50000,23,6,FRANCE,5492
F,4,CS,4,90000,22,2,IND,5493
F,3,ECE,3.0,110000,21,2,GER,5494
M,4,ME,3.6,90000,24,2,US,5495
M,4,CHEM,3.6,90000,22,2,CANADA,5496
F,2,CS,2.8,100000,22,4,IND,5497
F,1,ECE,3.4,150000,20,2,US,5498
F,4,ECE,2.4000000000000004,60000,24,4,CANADA,5499
M,3,ECE,3.0,110000,23,2,SPAIN,5500
F,1,ECE,3.0,120000,21,4,GER,5501
F,2,CS,2.6,115000,21,3,CHN,5502
F,3,ME,2.6,110000,23,2,IND,5503
M,2,STAT,1.7999999999999998,315000,20,5,KOR,5504
F,4,ME,1,355000,22,5,KOR,5505
M,2,ECE,2.8,100000,20,4,GER,5506
F,4,ECE,2.8000000000000003,90000,24,2,JPN,5507
F,2,CHEM,1,85000,22,5,SPAIN,5508
M,2,PHY,2.6,115000,22,3,CHN,5509
F,1,PHY,1,105000,19,5,BRAZIL,5510
M,2,PHY,1.4,115000,20,3,GER,5511
M,3,CS,3.6,95000,22,3,US,5512
M,3,STAT,2.4,95000,21,3,CANADA,5513
F,3,ME,2.0,65000,23,5,THAILAND,5514
F,4,ECE,2.2,45000,22,5,US,5515
F,1,PHY,1,105000,20,5,AUS,5516
F,4,MATH,3.2,340000,24,4,IND,5517
M,2,CS,3.0,85000,20,5,THAILAND,5518
F,4,CHEM,3.2,60000,24,4,RUSSIAN,5519
M,2,STAT,1.2,100000,20,4,US,5520
F,1,PHY,1,135000,20,3,US,5521
M,2,MATH,1,330000,20,6,SPAIN,5522
F,1,PHY,1,150000,20,2,US,5523
F,1,STAT,1,135000,21,3,AUS,5524
F,4,CS,4,75000,23,3,JPN,5525
M,2,MATH,3.2,330000,22,6,CHN,5526
M,2,STAT,1.4,115000,21,3,FRANCE,5527
F,4,STAT,2.8,30000,22,6,AUS,5528
F,4,PHY,1,310000,22,2,KOR,5529
F,4,CS,4,30000,24,6,CANADA,5530
F,2,ME,1.7999999999999998,300000,21,4,KOR,5531
M,1,PHY,1,90000,19,6,JPN,5532
M,4,CHEM,3.0,45000,24,5,US,5533
F,4,MATH,3.4,325000,22,3,RUSSIAN,5534
M,2,CS,2.8,100000,22,4,ENG,5535
M,2,CHEM,2.8,100000,22,4,CHN,5536
M,2,CS,3.0,85000,21,5,AUS,5537
M,4,ECE,2.6,75000,22,3,SPAIN,5538
F,3,CS,4.0,65000,21,5,FRANCE,5539
F,1,PHY,1,150000,21,2,CANADA,5540
F,1,PHY,1,120000,19,4,GER,5541
M,1,ME,1,135000,19,3,THAILAND,5542
F,2,CHEM,1.6,130000,20,2,ENG,5543
F,1,PHY,1,105000,21,5,GER,5544
F,3,MATH,2.4,305000,21,3,FRANCE,5545
F,4,STAT,2.8,30000,22,6,RUSSIAN,5546
M,2,ECE,3.0,115000,21,3,JPN,5547
M,2,CHEM,1,85000,21,5,ENG,5548
F,2,MATH,1.6,270000,20,2,THAILAND,5549
M,2,CS,2.4,130000,22,2,CHN,5550
M,2,PHY,1,70000,21,6,FRANCE,5551
M,4,STAT,3.4,75000,22,3,GER,5552
F,4,STAT,3.6,90000,23,2,THAILAND,5553
M,1,ME,1,90000,19,6,CANADA,5554
M,3,STAT,2.2,80000,23,4,US,5555
F,1,ECE,4,90000,20,6,CHN,5556
F,1,ME,1,105000,19,5,JPN,5557
F,2,ECE,2.8,100000,22,4,AUS,5558
M,4,CS,4,90000,24,2,SPAIN,5559
M,4,CHEM,3.4,75000,22,3,ENG,5560
F,4,PHY,3.4,75000,23,3,ENG,5561
F,3,CS,3.6,95000,22,3,US,5562
M,1,ECE,2.5999999999999996,90000,19,6,BRAZIL,5563
M,4,CS,4,45000,24,5,THAILAND,5564
M,1,ECE,3.0,120000,19,4,US,5565
M,2,ME,2.6,115000,22,3,CHN,5566
F,2,CHEM,1.2,100000,20,4,FRANCE,5567
M,2,ECE,1.7999999999999998,285000,21,3,KOR,5568
M,1,CHEM,1,105000,19,5,CANADA,5569
F,4,ECE,2.8000000000000003,90000,23,2,THAILAND,5570
F,4,STAT,3.6,90000,24,2,ENG,5571
F,2,CS,1.7999999999999998,285000,22,3,KOR,5572
M,3,CS,3.8,80000,22,4,CANADA,5573
F,2,ME,1,85000,20,5,THAILAND,5574
F,4,CHEM,3.0,45000,22,5,GER,5575
F,4,MATH,3.6,310000,22,2,THAILAND,5576
M,1,CS,1.6,135000,20,3,ENG,5577
F,4,ME,3.6,90000,22,2,THAILAND,5578
M,2,PHY,1,85000,21,5,ENG,5579
M,3,MATH,1.7999999999999998,350000,21,6,RUSSIAN,5580
F,3,MATH,1,320000,21,4,KOR,5581
M,1,STAT,1,90000,20,6,THAILAND,5582
M,2,PHY,1,85000,20,5,BRAZIL,5583
M,4,STAT,1,310000,24,2,KOR,5584
M,3,CHEM,2.6,110000,22,2,US,5585
M,3,ECE,2.5999999999999996,80000,21,4,IND,5586
F,2,MATH,1,315000,22,5,US,5587
F,1,PHY,1,150000,19,2,RUSSIAN,5588
F,4,ME,2.8,30000,23,6,US,5589
M,3,MATH,2.2,320000,22,4,US,5590
M,3,ME,2.0,65000,22,5,GER,5591
M,4,ECE,2.4000000000000004,60000,24,4,ENG,5592
F,4,MATH,1,370000,22,6,KOR,5593
M,4,MATH,3.2,340000,24,4,AUS,5594
M,2,ME,1,70000,20,6,BRAZIL,5595
F,4,PHY,2.8,30000,24,6,BRAZIL,5596
M,4,ME,3.0,45000,23,5,RUSSIAN,5597
M,2,ECE,1.7999999999999998,330000,21,6,KOR,5598
F,2,CHEM,1,70000,20,6,AUS,5599
F,2,STAT,1.6,130000,21,2,RUSSIAN,5600
M,2,STAT,1.6,130000,22,2,BRAZIL,5601
F,3,ME,2.2,80000,22,4,ENG,5602
F,1,ECE,2.5999999999999996,90000,19,6,US,5603
M,2,CHEM,1,70000,21,6,FRANCE,5604
F,2,MATH,1.2,300000,22,4,US,5605
F,2,PHY,1,70000,20,6,GER,5606
F,3,CS,3.6,95000,22,3,FRANCE,5607
M,2,ECE,2.8,100000,22,4,GER,5608
F,3,ECE,2.4,65000,23,5,RUSSIAN,5609
M,2,STAT,1,85000,21,5,FRANCE,5610
F,3,PHY,2.4,95000,21,3,BRAZIL,5611
F,1,CHEM,1,120000,19,4,SPAIN,5612
M,3,CHEM,2.2,80000,22,4,US,5613
F,2,PHY,1,70000,20,6,CANADA,5614
M,1,ECE,3.4,150000,21,2,BRAZIL,5615
M,3,ME,2.0,65000,23,5,BRAZIL,5616
F,1,PHY,1,120000,20,4,ENG,5617
